ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0072073,kidney epithelium development,27/1451,153/18986,0.17647058823529413,2.309076904366157,4.676675588881671,3.517591469792743e-5,0.002214037514649781,0.0018819329638266927,HES5/ADAMTS16/BMP7/EFNB2/HOXA11/SALL1/LHX1/SHH/POU3F3/PAX2/EPHA4/EYA1/WT1/ROBO2/GLI3/WNK4/NOG/KIF26B/FOXC2/HS3ST3B1/EPHA7/WNT6/TMEM59L/TFAP2B/TCF21/WNT11/SIX1,27
GO:0034765,regulation of monoatomic ion transmembrane transport,49/1451,354/18986,0.1384180790960452,1.811168607661967,4.431687720280898,3.6926582310802284e-5,0.002297512529291641,0.001952886766854408,RGS9/EPHB2/WNK3/FGF12/GRIN1/PTPN3/KCNS1/LRRC26/KCNJ12/GSTM2/SLC8A1/GNB5/RANGRF/KCNIP3/TMEM38A/PCSK9/KCNH2/KCNN2/KCNJ4/JPH3/KCNE4/GRIN2B/KCNG1/FXYD6/KCNRG/TMC1/NOS1/KCNJ16/CACNA1F/CACNG6/ADRA2A/NTSR1/SCN3B/TESC/KCNN4/CXCL9/WNK4/GRIN2A/GAL/SCN5A/ACTN2/CXCR3/DRD2/IFNG/CALCA/GRP/RELN/PLN/ADCYAP1R1,49
GO:0061326,renal tubule development,21/1451,105/18986,0.2,2.6169538249483115,4.779317617918326,3.861631391087183e-5,0.0023753421272676043,0.0020190419629715407,HES5/ADAMTS16/HOXA11/SALL1/LHX1/SHH/POU3F3/PAX2/EYA1/WT1/GLI3/WNK4/NOG/KIF26B/HS3ST3B1/WNT6/TMEM59L/TFAP2B/TCF21/WNT11/SIX1,21
GO:0030277,maintenance of gastrointestinal epithelium,9/1451,24/18986,0.375,4.906788421778084,5.50895929641691,3.949547966846588e-5,0.0024021239488247843,0.002041806524315368,TFF3/TFF1/TLR4/INAVA/RBP4/MUC13/MUC4/MUC6/SERPINA3,9
GO:0001658,branching involved in ureteric bud morphogenesis,15/1451,61/18986,0.2459016393442623,3.217566178215137,4.990105005819966,4.0484482175304086e-5,0.0024298669895146305,0.0020653881223892676,ADAMTS16/HOXA11/SALL1/LHX1/SHH/PAX2/EYA1/WT1/GLI3/NOG/HS3ST3B1/WNT6/TMEM59L/TCF21/SIX1,15
GO:0009953,dorsal/ventral pattern formation,19/1451,90/18986,0.2111111111111111,2.762340148556551,4.82072293423359,4.084941733712015e-5,0.0024298669895146305,0.0020653881223892676,DSCAML1/WNT7A/HHIP/HOXA11/LHX1/SIX3/SHH/GLI1/GREM2/GLI3/DMRT3/NOG/BMPR1B/HOXB2/PAX6/LHX2/FOXA1/SOSTDC1/LRP4,19
GO:0050770,regulation of axonogenesis,26/1451,146/18986,0.1780821917808219,2.3301643646800034,4.641169283942888,4.150345345003817e-5,0.00244193688614192,0.002075647540390353,L1CAM/EPHB2/MAG/KIF13B/WNT7A/MAP3K13/TRIM46/CRABP2/SEMA6C/UST/CHODL/DAB1/EPHA4/ROBO2/XK/SEMA6D/PLXNA4/LPAR3/EFNB3/SLIT1/RND2/EPHA7/FSTL4/PAK3/MT3/LRP4,26
GO:0050768,negative regulation of neurogenesis,25/1451,138/18986,0.18115942028985507,2.370429189264775,4.647823513705499,4.313362139321664e-5,0.0025105622860374373,0.002133979163664402,EPHB2/MAG/WNT7A/HES5/TRIM46/CDKN2B/BMP7/SOX11/SEMA6C/DLL3/GPR37L1/BRINP1/DAB1/NOG/SEMA6D/EFNB3/PAX6/SLIT1/TNF/EPHA7/LHX2/FSTL4/CCL11/MT3/LRP4,25
GO:0061053,somite development,18/1451,83/18986,0.21686746987951808,2.8376607740403377,4.826420378505302,4.434613701493619e-5,0.002553677017679251,0.0021706267065205614,CRB2/DLL3/IHH/LHX1/SCX/TCF15/SHH/MEOX1/COBL/NKX3-1/NOG/LEF1/FOXC2/MESP1/WNT11/TBX18/SIX1/FOXB1,18
GO:0002449,lymphocyte mediated immunity,52/1451,386/18986,0.13471502590673576,1.762715011623215,4.354974298049242,4.517064238223204e-5,0.002573775654894969,0.002187710557925056,MLH1/TRPM4/CEACAM1/UNC13D/HFE/SUSD4/RSAD2/TRAF3IP2/CR2/HPX/C4BPB/SVEP1/PIK3R1/IL9R/CD2/CD8A/CD27/IL4I1/IGHV2-70/KLRB1/TNF/IGHV1-69/IGHV4-34/IGHG3/IGHV3-13/IGHV3-20/C4BPA/IGHV3-21/IGHV3-53/IGHV4-39/IGLC2/IGHV1-18/IGHV3-30/IGHG4/IGHV4-31/IGHM/IGHV2-5/IGHV5-51/IGHV3-66/IGHV4-61/IGLL5/IGHG2/IGHV1-24/IGHV1-69D/IGHA1/IGHG1/IGHV3-15/IGHV3-23/IGHV3-11/IGHV4-4/IGHV3-43/IGHV1-3,52
GO:0086010,membrane depolarization during action potential,10/1451,30/18986,0.3333333333333333,4.361589708247186,5.300515448776903,4.7868580299199145e-5,0.002699089845412135,0.002294227680787275,TRPM4/PTPN3/SLC8A1/RANGRF/KCNH2/SCN11A/SCN2B/HCN4/SCN3B/SCN5A,10
GO:0050890,cognition,46/1451,329/18986,0.1398176291793313,1.8294813973802784,4.365860106646851,4.924783928194653e-5,0.0027435128206681797,0.0023319872313515445,GPR158/EPHB2/KLK8/GRIN1/FOXO6/SLC1A1/ABCA7/SYT11/SLC12A5/SLC2A4/FAM107A/JPH3/RAPGEF3/GRIN2B/SNAP25/NTF4/CHL1/BRINP1/LRRN4/MGAT3/GLP1R/CBR3/KCNK2/NTSR1/MEIS2/CNR1/NOG/GRIN2A/PRKCG/PTGS2/NPTX2/PPP1R1B/PAX6/ADGRF1/TH/DRD2/TNF/DNAH11/RELN/NRXN3/CCL11/SCN2A/PLN/RASGRF1/FOXB1/TMPRSS11E,46
GO:0086002,cardiac muscle cell action potential involved in contraction,15/1451,62/18986,0.24193548387096775,3.165669949534248,4.913237606025083,4.967010094688372e-5,0.0027435128206681797,0.0023319872313515445,TRPM4/FGF12/SCN8A/SCN4A/KCNH2/SCN11A/SCN2B/KCNN2/KCNE4/NOS1/KCND3/SCN3B/SCN5A/SCN7A/SCN2A,15
GO:0060041,retina development in camera-type eye,29/1451,174/18986,0.16666666666666666,2.180794854123593,4.5010901656049365,5.476645862385352e-5,0.0029944529346557485,0.0025452864502377853,CLDN19/THRB/TGIF2/PDE6B/CELF4/SLC1A1/CRB2/FJX1/ATP8A2/IHH/LHX1/SIX3/TULP1/ATP2B2/TUB/PAX2/RBP4/BMPR1B/PAX6/PDGFRA/SAMD11/SDK1/LHX2/SDK2/FAT3/SLC17A7/GPM6A/DCX/TFAP2B,29
GO:0001657,ureteric bud development,20/1451,100/18986,0.2,2.6169538249483115,4.663518964502191,5.8539174660948556e-5,0.0031687255243971453,0.0026934182362421703,ADAMTS16/BMP7/HOXA11/SALL1/LHX1/SHH/PAX2/EYA1/WT1/ROBO2/GLI3/NOG/KIF26B/FOXC2/HS3ST3B1/WNT6/TMEM59L/TCF21/WNT11/SIX1,20
GO:0086003,cardiac muscle cell contraction,18/1451,85/18986,0.21176470588235294,2.7708922852393885,4.707012369918188,6.1861509067809e-5,0.0033142206082992912,0.0028170891282927463,TRPM4/FGF12/SCN8A/SCN4A/RANGRF/KCNH2/SCN11A/SCN2B/KCNN2/KCNE4/NOS1/HCN4/KCND3/SCN3B/SCN5A/SCN7A/SCN2A/PLN,18
GO:0043651,linoleic acid metabolic process,8/1451,20/18986,0.4,5.233907649896623,5.449474535202521,6.245159838287968e-5,0.0033142206082992912,0.0028170891282927463,GSTM2/ELOVL3/ELOVL2/FADS2/ALOX15B/ALOXE3/ALOX12B/ALOX15,8
GO:0070633,transepithelial transport,11/1451,37/18986,0.2972972972972973,3.8900664965447875,5.061761420385894,6.6619435536056e-5,0.0034965807496200743,0.002972095337071445,CLDN19/CLCNKB/SLC1A1/SLC5A1/SLC12A2/CLCNKA/SLC1A2/RHBG/SLC1A3/RHCG/SCNN1B,11
GO:0072163,mesonephric epithelium development,20/1451,101/18986,0.19801980198019803,2.5910433910379322,4.611798652410002,6.78257858322756e-5,0.0034965807496200743,0.002972095337071445,ADAMTS16/BMP7/HOXA11/SALL1/LHX1/SHH/PAX2/EYA1/WT1/ROBO2/GLI3/NOG/KIF26B/FOXC2/HS3ST3B1/WNT6/TMEM59L/TCF21/WNT11/SIX1,20
GO:0072164,mesonephric tubule development,20/1451,101/18986,0.19801980198019803,2.5910433910379322,4.611798652410002,6.78257858322756e-5,0.0034965807496200743,0.002972095337071445,ADAMTS16/BMP7/HOXA11/SALL1/LHX1/SHH/PAX2/EYA1/WT1/ROBO2/GLI3/NOG/KIF26B/FOXC2/HS3ST3B1/WNT6/TMEM59L/TCF21/WNT11/SIX1,20
GO:0006941,striated muscle contraction,31/1451,194/18986,0.15979381443298968,2.090865169417465,4.393104764056242,7.029489010154137e-5,0.003589681510562674,0.003051231029134433,TRPM4/RYR1/TNNT1/FGF12/SCN8A/SCN4A/GSTM2/SLC8A1/ADRA1B/RANGRF/DTNA/TMEM38A/KCNH2/SCN11A/ATP8A2/SCN2B/KCNN2/KCNE4/MAP2K6/TNNI3/TNNT3/NOS1/HCN4/KCND3/SCN3B/SCN5A/TNF/SCN7A/SCN2A/PLN/CCDC78,31
GO:0008016,regulation of heart contraction,33/1451,213/18986,0.15492957746478872,2.027217751720523,4.336822020938824,7.776366592967942e-5,0.003933969380162193,0.003343875885672689,RNLS/TRPM4/MDM2/THRB/KCNJ12/GSTM2/SLC8A1/ADRA1B/RANGRF/SLC1A1/TMEM38A/S100A1/KCNH2/ADM/SCN2B/KCNN2/ATP2A3/KCNE4/TNNI3/ATP2B2/NOS1/GLP1R/HCN4/KCND3/ATP2B3/SCN3B/SCN5A/TH/DRD2/CHRM2/TNF/PLN/TBX18,33
