Gene,Importance
NAPSB,1.8729164997716952e-4
`IGHV4-34`,1.8682621790871014e-4
PRODH,1.8670385186326532e-4
UGT2B7,1.8662280245820728e-4
`IGKV3-11`,1.85549686023321e-4
CDH18,1.8522742815359593e-4
MARCHF10,1.8498360534400303e-4
PIK3C2G,1.8139365157159016e-4
PLEKHS1,1.8108792882021429e-4
B3GNT3,1.7994094523825942e-4
ELF5,1.7894870628840142e-4
STMND1,1.7860525497289515e-4
CHIT1,1.783266405436903e-4
ATP6V0A4,1.781807901184045e-4
KRT31,1.7670634920634854e-4
AMH,1.7665261258263554e-4
SLC14A1,1.7612715942622191e-4
CHMP1B2P,1.759551076249368e-4
MSLN,1.7585841122121494e-4
HOXA5,1.7497459949958482e-4
FAM189A1,1.747556739487517e-4
SPINK1,1.7326620863417097e-4
CACNG5,1.7247180984560285e-4
B3GALT5,1.721005737358756e-4
`IGHV4-59`,1.7166533769794666e-4
DMBX1,1.712523048698209e-4
SIX2,1.7109132770247259e-4
`IGHV3-33`,1.7091354820102423e-4
LY6D,1.6928199061415073e-4
AL357507.1,1.690826665788676e-4
LRRN1,1.678062764085162e-4
LDLRAD1,1.6770443918331178e-4
PAEP,1.6750331244317417e-4
`ANKRD44-AS1`,1.6746586025510846e-4
APOBEC4,1.6710327459483688e-4
SFRP5,1.650737032539451e-4
LRP2,1.6313592732450434e-4
UPK1B,1.626814243415642e-4
UGT2B17,1.6224502185526935e-4
TTC6,1.6223378748710983e-4
CES1,1.6188896827959854e-4
COX20P1,1.5857825769493794e-4
`IGLV3-19`,1.56732919918829e-4
LRRTM1,1.5631517008217412e-4
CALN1,1.562061421216352e-4
PTH2R,1.5538535936942478e-4
PPARGC1A,1.5418457117873373e-4
C1orf189,1.5400522392348192e-4
CXCL6,1.540027293035633e-4
FMO6P,1.5394881879851407e-4
`IGKV3D-20`,1.5369133845943007e-4
MIR31HG,1.5322278735762574e-4
`IGKV2-24`,1.526408414420304e-4
KRT5,1.522410825042404e-4
GDA,1.514812819347744e-4
ALPG,1.5120693164709232e-4
C16orf89,1.5053027216903447e-4
IGHJ4,1.49947438642551e-4
GATD3A,1.480445524624634e-4
C11orf97,1.4661796786597759e-4
TOX3,1.4641053391053417e-4
MS4A8,1.4636489201285953e-4
MSMB,1.461798760600128e-4
ADGRG2,1.4588609997414205e-4
MROH2A,1.4552930222047866e-4
AC004832.1,1.4551216806752952e-4
VNN3,1.4445008430022854e-4
SLC5A12,1.4400885184467295e-4
ATP2B2,1.436882468708629e-4
PI3,1.420018950702757e-4
FXYD4,1.4114203260494928e-4
CYP4F11,1.404724380552882e-4
IGKJ1,1.4034300513776743e-4
KRT8P36,1.4016501673632975e-4
SCTR,1.3950059602233566e-4
CSF3,1.3921440805072494e-4
ZMYND10,1.385701475604717e-4
LINC01513,1.3839225030196412e-4
TRIM15,1.3837346898941117e-4
GABRP,1.3825383841540285e-4
`IGHV1-58`,1.3793611212003953e-4
FBN3,1.3756425620244905e-4
GPX2,1.370364606380612e-4
MUC13,1.3542723659732791e-4
LEFTY1,1.3337993217213672e-4
SLC7A2,1.3302784346584716e-4
OPRK1,1.3278984058794663e-4
DKK1,1.3278909053556908e-4
TNNI3,1.3261793473778294e-4
UBBP4,1.3013045134006184e-4
FAM163B,1.2778715242928952e-4
MTND1P23,1.2760807741408087e-4
MSLNL,1.2726395409494028e-4
SLC30A2,1.270990400073062e-4
CDH16,1.2709698609241981e-4
AL121956.7,1.262135237840083e-4
`IGLV9-49`,1.2509778405090554e-4
OBP2B,1.2496608779128415e-4
NPIPB15,1.2480638702504576e-4
ERN2,1.2425922584373295e-4
RELN,1.2383669744826076e-4
TAC1,1.2359416038878356e-4
INA,1.224231509244278e-4
HHLA2,1.22113289187864e-4
LINC00488,1.2139908675799104e-4
SCN1A,1.2089889655260721e-4
ALKAL2,1.2037699700256476e-4
COL25A1,1.197300322323942e-4
IGF2,1.1939209135287631e-4
DLX3,1.1826163794896916e-4
FAM166B,1.1693678559350218e-4
IGHJ3,1.1687619902768964e-4
CST4,1.1679836778165687e-4
GSTM1,1.1575091575091578e-4
JCHAIN,1.1516155758077851e-4
