Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
ADAM11,0.9168576371040286,0.18417519848992364,3.7856748259516033,1.9496974867426944e-4,7.012148596807383e-4,0.1988834731954361
TLE6,-0.8701960826618693,2.130731176966798,-3.785395614648023,1.951760386115725e-4,7.018325917801839e-4,0.09575170530898891
KLHL6,-0.9487498187197112,2.1911651657530564,-3.7847118135299285,1.9568212413496807e-4,7.035279481548011e-4,0.05332498216850645
SUDS3,-0.29435228549096504,5.945075488760561,-3.784596980093093,1.9576723469347783e-4,7.037094584206302e-4,-0.4161410012077802
BCAS3,-0.40159074733986433,4.805183337169129,-3.7838609176187545,1.963136105690908e-4,7.055486863317775e-4,-0.3298061020493641
EXD3,-0.44981059300050585,4.681932606459796,-3.783753049754778,1.963938014467842e-4,7.057120969951277e-4,-0.3076508598674339
MORC2,0.26128620807610314,5.810569578335962,3.7835167123414295,1.96569607158349e-4,7.06218966923508e-4,-0.415934245802438
TLR10,-1.0481163734270933,-0.9589611438826374,-3.7831636602140257,1.9683251137387142e-4,7.070385226515663e-4,0.29713174230380623
AL024507.2,0.43846413414729235,-0.12105220899375853,3.781597892344183,1.9800249045685007e-4,7.111155002730202e-4,0.20287157196391803
SPCS2,-0.3287332625551107,5.363142906623909,-3.781533782588488,1.9805053465546025e-4,7.111623792115855e-4,-0.3904674048740846
CPEB1,0.9325741388870079,-2.1722727331146814,3.781340140016624,1.981957183916123e-4,7.114689889689922e-4,0.32822230742840297
FAM13A,-0.4779808314947882,4.190802514626375,-3.7813265188876426,1.9820593463601823e-4,7.114689889689922e-4,-0.22849575865075433
CLIP3,0.6861860750486706,4.0501889250334004,3.781209596703319,1.9829365017295093e-4,7.116581575340022e-4,-0.27341474188171677
PTPRVP,0.9157788248052312,-1.9211042828238085,3.7809817714244884,1.9846467115338423e-4,7.121461822954415e-4,0.3204973723410385
SAXO1,-0.8488667839074109,-1.6018683794953796,-3.7807595295717222,1.9863163521984277e-4,7.126194800014271e-4,0.31195703121584284
GNA15,-0.6972702644731243,3.4352161779226296,-3.7803091739817973,1.9897038209824112e-4,7.137087973463912e-4,-0.1364252016500247
SUPT7L,0.2152562741508266,5.73344800138238,3.7797817431510565,1.993677976425864e-4,7.150081382191506e-4,-0.42994167532900107
SAP30L-AS1,-0.45670522505800726,0.7614263582541348,-3.7795138755659754,1.9956992132641991e-4,7.15606753888172e-4,0.1601836475417482
ZNF287,-0.4118840833152322,2.484766488576495,-3.7783281938802578,2.0046692524899824e-4,7.186963818593473e-4,-0.004296657166075413
AC005165.2,0.7560992780405904,-1.3027276433118429,3.777782719106469,2.0088087241545478e-4,7.200534128697889e-4,0.2669874086856474
RTN3,0.2876010641557025,7.500401307236341,3.7776956836708213,2.0094699614908759e-4,7.201634191031664e-4,-0.4711472911266448
THYN1,-0.33737700420841676,5.455203800719116,-3.7772187164638416,2.0130972966763745e-4,7.213362034141508e-4,-0.40992864948370933
CACTIN,-0.30740346476384417,4.540405237044631,-3.776997431039684,2.0147822736928944e-4,7.21812708100377e-4,-0.3070382180258875
ZNF622,0.3115108140827507,4.993110801582955,3.7769050745559456,2.0154859161161084e-4,7.219375354096544e-4,-0.38418326838624584
HEATR5B,-0.33972738760726884,4.8534397980742705,-3.7765682530639797,2.0180540494883908e-4,7.227300528951904e-4,-0.3594076287628907
NAPEPLD,-0.4870043066391636,4.043849338635009,-3.776308686381509,2.0200352553683017e-4,7.233121305515392e-4,-0.24355976923412737
ASCL5,-1.4618652880844505,-0.6572196889087291,-3.775571646666765,2.0256709195752e-4,7.252023211105578e-4,0.2296027408538448
KLRB1,-0.9868698917900787,0.11318554941900802,-3.7755192009039438,2.0260725042711445e-4,7.252183440790197e-4,0.20147603424128135
AREL1,0.26868049931676286,5.6856052854269565,3.7753339881146646,2.0274913074070971e-4,0.00072559840344676605,-0.44033157304521175
AL157996.1,-1.43554435815683,-2.444913408479005,-3.7749990419853376,2.030059512791077e-4,7.263896045416522e-4,0.3641333213989757
TMEM63A,-0.5168003958511864,6.951723474616669,-3.7740200389691174,2.0375836796435355e-4,7.289535417193315e-4,-0.4778860931240647
DIO1,1.1781686790789605,-1.7432062851000338,3.7739448317946973,2.0381627765450808e-4,7.290323877244319e-4,0.27959728678220763
MTF2,0.34415995622788387,4.634167252773997,3.773646278929393,2.0404631754103447e-4,7.297267917832104e-4,-0.3651782771316343
