ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0141061,disruption of cell in another organism,18/667,124/18986,0.14516129032258066,4.131982395898825,6.676573295003004,3.351137964190316e-7,3.8662557426858554e-5,3.707920773009375e-5,C8B/CXCL13/CXCL9/CCL13/CCL11/C6/IFNG/AZU1/GBP5/HAMP/CCL19/SCNN1B/CXCL1/CXCL14/CXCL10/PLA2G2A/CAMP/LTF,18
GO:0141060,disruption of anatomical structure in another organism,18/667,127/18986,0.14173228346456693,4.034376512531136,6.546803933216787,4.82390676490431e-7,5.3310051037852075e-5,5.112684178417085e-5,C8B/CXCL13/CXCL9/CCL13/CCL11/C6/IFNG/AZU1/GBP5/HAMP/CCL19/SCNN1B/CXCL1/CXCL14/CXCL10/PLA2G2A/CAMP/LTF,18
GO:0006956,complement activation,13/667,67/18986,0.19402985074626866,5.523014612096937,7.0767465182022615,4.884774364538204e-7,5.3310051037852075e-5,5.112684178417085e-5,CFI/C8B/CFD/CFB/IGHG1/C4BPA/CFH/IGHG3/IGHM/C6/C3/IGHG4/IGHG2,13
GO:0036159,inner dynein arm assembly,7/667,17/18986,0.4117647058823529,11.720786665490783,8.438130405114848,9.153018112966646e-7,9.726286089515608e-5,9.327964996566285e-5,DNAI3/DNAH7/DNAAF1/DNAH2/DNAAF6/CFAP100/CFAP73,7
GO:0006958,"complement activation, classical pathway",10/667,42/18986,0.23809523809523808,6.777325622902834,7.152090234027923,1.423812291368598e-6,1.4741933416785637e-4,1.4138206261660112e-4,CFI/C8B/IGHG1/C4BPA/IGHG3/IGHM/C6/C3/IGHG4/IGHG2,10
GO:0048705,skeletal system morphogenesis,24/667,232/18986,0.10344827586206896,2.944631132709507,5.686585945223508,2.3996946743702826e-6,2.39133718990115e-4,2.2934046353448372e-4,HOXB4/HOXB3/HOXB8/HOXC11/FGF8/HOXB2/RUNX2/HOXC9/HOXB1/HOXB7/HOXB5/AXIN2/HOXA9/HOXB6/BMP4/SIX2/SP5/HOXC8/HOXA5/FGF4/HOXA7/PAX5/IHH/LTF,24
GO:0048568,embryonic organ development,37/667,458/18986,0.08078602620087336,2.299555462443451,5.3719334452526795,2.4280541056450507e-6,2.39133718990115e-4,2.2934046353448372e-4,HOXB4/HOXB3/HOXB8/OTX1/HOXC11/FGF8/HOXB2/RUNX2/HOXC9/HOXB1/HOXB7/HOXB5/DNAAF1/MYO3B/HOXA9/HOXB6/FGF9/BMP4/SIX2/KIT/PROX1/HEY2/WNT16/HOXA5/HOXA7/GJB6/PAX6/GDNF/PAX5/CDX2/WNT3A/WNT11/IHH/FOXG1/PLG/GJB5/USH1C,37
GO:0001906,cell killing,25/667,264/18986,0.0946969696969697,2.695527236381809,5.293561339748978,7.254332046052254e-6,6.974522095704523e-4,6.688894134693294e-4,C8B/ULBP1/CXCL13/CXCL9/LAG3/IGHG1/CFH/CCL13/ULBP2/CCL11/C6/IFNG/C3/AZU1/GBP5/HAMP/CCL19/SCNN1B/IL12A/CXCL1/CXCL14/CXCL10/PLA2G2A/CAMP/LTF,25
GO:0120197,mucociliary clearance,5/667,10/18986,0.5,14.232383808095951,7.986437360227958,1.1471598846469797e-5,0.0010772631660940708,0.001033145952415236,DNAH9/SPAG16/CFAP43/CFAP221/CFAP54,5
GO:0002455,humoral immune response mediated by circulating immunoglobulin,10/667,56/18986,0.17857142857142858,5.082994217177126,5.838681803500733,2.2115059114687982e-5,0.0020295592887525013,0.0019464426431324664,CFI/C8B/IGHG1/C4BPA/IGHG3/IGHM/C6/C3/IGHG4/IGHG2,10
GO:0061844,antimicrobial humoral immune response mediated by antimicrobial peptide,16/667,136/18986,0.11764705882352941,3.3487961901402237,5.245373853169882,2.34509089979905e-5,0.0021043282340863475,0.0020181495720142,CXCL13/CXCL9/CXCL5/DMBT1/MMP7/CCL13/CCL11/HAMP/CCL19/REG1A/CXCL1/CXCL14/CXCL10/KLK3/CAMP/LTF,16
GO:2000027,regulation of animal organ morphogenesis,12/667,81/18986,0.14814814814814814,4.217002609806207,5.536342101420686,2.4623214976645068e-5,0.002161490045123756,0.0020729704324731627,SAPCD2/APCDD1/HOXC11/FGF8/RUNX2/HOXB7/PKHD1/SFRP2/BMP4/SIX2/GDNF/WNT3A,12
GO:0060632,regulation of microtubule-based movement,10/667,60/18986,0.16666666666666666,4.744127936031983,5.5426087590333175,4.126827060470217e-5,0.0035455590787614333,0.003400357616006703,CCDC65/CFAP43/DRC1/EPPIN/DNAAF1/NEFH/GAS2L2/RGN/RSPH4A/TRIM58,10
GO:0019731,antibacterial humoral response,11/667,79/18986,0.13924050632911392,3.9634486554191257,5.036362446737455,9.538779374554318e-5,0.00802449814884382,0.007695870464689767,IGHG1/DMBT1/IGHG3/MMP7/IGHM/IGHG4/IGHG2/IGKV3-20/KLK3/CAMP/LTF,11
GO:0070098,chemokine-mediated signaling pathway,12/667,93/18986,0.12903225806451613,3.672873240798955,4.93045173166241,9.886226079582653e-5,0.008147057328439747,0.00781341047191935,CXCL13/CXCL9/CXCL5/CCL13/CCR8/CCL11/CCR3/CXCR2/CCL19/CXCL1/CXCL10/CXCR1,12
GO:0003352,regulation of cilium movement,8/667,44/18986,0.18181818181818182,5.175412293853073,5.29090695375727,1.286809235653759e-4,0.010392271387139758,0.009966676164147746,CCDC65/CFAP43/DRC1/EPPIN/DNAAF1/GAS2L2/RGN/RSPH4A,8
GO:0090660,cerebrospinal fluid circulation,5/667,16/18986,0.3125,8.89523988005997,6.028496205777812,1.667761855639731e-4,0.013204749751123988,0.012663974957478992,DNAH9/SPAG16/CFAP43/CFAP221/CFAP54,5
GO:0003016,respiratory system process,8/667,46/18986,0.17391304347826086,4.950394368033375,5.118547269221063,1.780989384876274e-4,0.013650431238518283,0.013091404428067246,DNAH9/CCBE1/SPAG16/CFAP43/CFAP221/CFAP54/TLX3/HOXA5,8
GO:0071621,granulocyte chemotaxis,14/667,129/18986,0.10852713178294573,3.0891995862533848,4.543136883003932,1.7916613562195865e-4,0.013650431238518283,0.013091404428067246,EDN3/CXCL13/CXCL9/CXCL5/DPEP1/C5AR2/CCL13/CCL11/CXCR2/CCL19/CXCL1/CXCL17/CXCL10/CXCR1,14
GO:0014059,regulation of dopamine secretion,6/667,25/18986,0.24,6.831544227886056,5.567244506009779,1.8376496084223092e-4,0.013670403858281477,0.013110559108109161,FGF20/CHRNA6/GDNF/KCNA2/SYT1/OPRK1,6
GO:0030593,neutrophil chemotaxis,11/667,85/18986,0.12941176470588237,3.683675809154247,4.731670125491916,1.861991610216645e-4,0.013670403858281477,0.013110559108109161,EDN3/CXCL13/CXCL9/CXCL5/DPEP1/C5AR2/CXCR2/CCL19/CXCL1/CXCL10/CXCR1,11
GO:1990868,response to chemokine,12/667,102/18986,0.11764705882352941,3.3487961901402237,4.538535744069084,2.4069145906258568e-4,0.017051089678854752,0.01635279552892433,CXCL13/CXCL9/CXCL5/CCL13/CCR8/CCL11/CCR3/CXCR2/CCL19/CXCL1/CXCL10/CXCR1,12
GO:1990869,cellular response to chemokine,12/667,102/18986,0.11764705882352941,3.3487961901402237,4.538535744069084,2.4069145906258568e-4,0.017051089678854752,0.01635279552892433,CXCL13/CXCL9/CXCL5/CCL13/CCR8/CCL11/CCR3/CXCR2/CCL19/CXCL1/CXCL10/CXCR1,12
GO:1905198,manchette assembly,4/667,10/18986,0.4,11.385907046476762,6.26843940281477,2.676595909995094e-4,0.018634645318207223,0.017871499732979943,SPAG17/MEIG1/CFAP53/STK33,4
GO:0001710,mesodermal cell fate commitment,5/667,18/18986,0.2777777777777778,7.906879893386639,5.5940291148036305,3.085763551390358e-4,0.02076718870085711,0.019916708957131803,SFRP2/BMP4/SIX2/WNT3A/TRIM15,5
GO:0006957,"complement activation, alternative pathway",5/667,18/18986,0.2777777777777778,7.906879893386639,5.5940291148036305,3.085763551390358e-4,0.02076718870085711,0.019916708957131803,C8B/CFD/CFB/CFH/C3,5
GO:0097530,granulocyte migration,15/667,156/18986,0.09615384615384616,2.7369968861722986,4.1567462671125295,4.048734349895091e-4,0.02673696436315891,0.025642004090628927,EDN3/XG/CXCL13/CXCL9/CXCL5/DPEP1/C5AR2/CCL13/CCL11/CXCR2/CCL19/CXCL1/CXCL17/CXCL10/CXCR1,15
GO:1990266,neutrophil migration,12/667,108/18986,0.1111111111111111,3.162751957354656,4.300886056942145,4.105229793253721e-4,0.02673696436315891,0.025642004090628927,EDN3/XG/CXCL13/CXCL9/CXCL5/DPEP1/C5AR2/CXCR2/CCL19/CXCL1/CXCL10/CXCR1,12
GO:0042475,odontogenesis of dentin-containing tooth,11/667,94/18986,0.11702127659574468,3.330983444447989,4.322962654322066,4.5329104779251743e-4,0.029053797634701357,0.02786395597040387,KLK4/APCDD1/FGF8/RUNX2/EDAR/WNT6/BMP4/SCN5A/CFTR/FGF4/SOSTDC1,11
GO:0014046,dopamine secretion,6/667,30/18986,0.2,5.692953523238381,4.908523413481619,5.305771084649946e-4,0.033218507997862336,0.031858108736512486,FGF20/CHRNA6/GDNF/KCNA2/SYT1/OPRK1,6
GO:0060042,retina morphogenesis in camera-type eye,9/667,67/18986,0.13432835820895522,3.8236255006824944,4.417868091166296,5.347209063548915e-4,0.033218507997862336,0.031858108736512486,RP1/PROM1/NDP/PTPRM/SDK1/PROX1/MEGF11/IHH/USH1C,9
GO:0042487,regulation of odontogenesis of dentin-containing tooth,4/667,12/18986,0.3333333333333333,9.488255872063966,5.612378778932012,5.964081166035824e-4,0.03648933295220099,0.03499498342878118,APCDD1/FGF8/RUNX2/BMP4,4
GO:0007411,axon guidance,19/667,236/18986,0.08050847457627118,2.2916550199476533,3.809949664345216,7.029892597352548e-4,0.042368218370312814,0.04063311055091913,EDN3/FGF8/CHL1/NDP/PTPRM/VAX1/BDNF/PAX6/GDNF/RELN/NRXN3/WNT3A/CNTN5/FLRT3/LHX2/FOXG1/GFRA3/L1CAM/SEMA3E,19
