ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0070588,calcium ion transmembrane transport,52/1923,348/18986,0.14942528735632185,1.4752930347098943,3.0041296079533004,0.0027862929445432367,0.034190012571100915,0.028247526047585687,RYR1/RGS9/GNB5/TRPM4/TMEM38A/GRIN2C/PLCH1/CACNA2D2/SLC8A1/CNGA4/ATP2C2/PLCB1/CACNA1B/CALHM3/PLCB4/CACNG8/GRIN1/TMC1/TRPV3/NTSR1/CNGB1/ATP2B2/ADCYAP1R1/GSTM2/GRIN2B/STAC2/MICU3/NALCN/ADRA2A/CALCA/P2RY6/PLCH2/STAC/TRPM3/CACNG4/BHLHA15/KCNN4/BDKRB1/JPH3/HPCA/CACNA1S/TRPM5/MCOLN3/GRIN3B/SLC8A2/NOS1/JPH2/CEMIP/CASQ1/RRAD/WNT3A/CCL21,52
GO:0032370,positive regulation of lipid transport,18/1923,88/18986,0.20454545454545456,2.0195007800312017,3.218016181769588,0.002807408087727571,0.03425167059841465,0.02829846743665261,PTCH1/ACSL5/ABCA3/MAP2K6/PLA2G4A/DAB2/APOA1/FABP3/ABCG4/MYB/NTSR1/ABCA7/APOE/ERFE/GAL/PLA2G10/ABCA8/LIPG,18
GO:0042310,vasoconstriction,18/1923,88/18986,0.20454545454545456,2.0195007800312017,3.218016181769588,0.002807408087727571,0.03425167059841465,0.02829846743665261,DOCK5/TRPM4/ADRA1B/SLC8A1/EDN3/ADRA2B/AVPR2/COMP/SMTNL1/SCNN1B/SVEP1/ADRA2A/KEL/DBH/GRIP2/MMP2/PTGS2/ASIC2,18
GO:0021602,cranial nerve morphogenesis,9/1923,31/18986,0.2903225806451613,2.8663882039152533,3.491308139659097,0.0028091726363947377,0.03425167059841465,0.02829846743665261,EPHB2/EPHB1/PAX2/HOXA1/GLI3/HOXA3/SIX1/SEMA3A/PLXNA4,9
GO:0006939,smooth muscle contraction,21/1923,109/18986,0.1926605504587156,1.9021597561150154,3.1710088824433895,0.0028378028260881392,0.03452760098126267,0.028526439001758375,DOCK5/ADA/NMU/SLC8A1/EDN3/TNNI3/ADRA2B/COMP/GUCY1A1/SCNN1B/CHRNA3/ADORA2B/ADRA2A/CHRM2/CALCA/ITGA2/GRIP2/PTGS2/GDNF/ADRB2/NMUR2,21
GO:0007589,body fluid secretion,19/1923,95/18986,0.2,1.974622984919397,3.196967530182197,0.002845251312039488,0.03454519261769463,0.028540973076798506,TRAF3IP2/WNK3/ADA/NPR1/AGR2/ANO1/NEURL1/ADORA1/XBP1/SCNN1B/FOXB1/CEL/KCNN4/GJA1/ERBB4/NEGR1/AQP5/ALOX12B/OPRK1,19
GO:0050768,negative regulation of neurogenesis,25/1923,138/18986,0.18115942028985507,1.7886077761951058,3.121297821903085,0.0028896001021681576,0.034722308771589244,0.02868730508414077,DLL3/EPHB2/TRIM46/HES5/SEMA6C/SOX11/MAG/ARHGAP4/BMP7/RTN4R/NTN1/WNT7A/PROX1/MT3/BRINP1/NOG/SLIT1/WNT3/NKX6-1/DAB1/EPHA7/WNT3A/SEMA3A/VAX1/LRP4,25
GO:0019372,lipoxygenase pathway,5/1923,11/18986,0.45454545454545453,4.487779511180447,3.8843800940698143,0.0029020730702231847,0.034722308771589244,0.02868730508414077,ALOX15B/ALOXE3/HPGD/ALOX12B/ALOX15,5
GO:0060433,bronchus development,5/1923,11/18986,0.45454545454545453,4.487779511180447,3.8843800940698143,0.0029020730702231847,0.034722308771589244,0.02868730508414077,SPDEF/AGR2/BMP4/HOXA5/ADAMTSL2,5
GO:0071313,cellular response to caffeine,5/1923,11/18986,0.45454545454545453,4.487779511180447,3.8843800940698143,0.0029020730702231847,0.034722308771589244,0.02868730508414077,RYR1/TMEM38A/SLC8A1/GSTM2/CACNA1S,5
