Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
FSD1,2.6149930433399375,0.37651370041965676,9.636760594485082,1.021173936673157e-18,1.3211974979085292e-16,31.87486276214107
FAAP24,1.1203914654901388,2.020181991973292,9.63613041021691,1.0256665046898272e-18,1.3211974979085292e-16,31.891425442315523
CCNF,1.2780628218877004,4.386699369092398,9.63592894404338,1.027106891702163e-18,1.3211974979085292e-16,31.787767392021394
FBXL16,2.585274277404333,2.0267102044843663,9.634830101595924,1.0349985498733879e-18,1.3229755048821847e-16,31.880912401238966
KCNIP3,2.0404071614601147,2.189456874515639,9.62937587098478,1.0750705839361832e-18,1.3656084092449367e-16,31.839977853937384
TRAIP,1.079151738998969,3.580691970563437,9.619100743034132,1.1547963294990914e-18,1.449124408866601e-16,31.718137009201527
CLDN9,3.1715997587042883,1.432435674851945,9.603894416627629,1.2836864425447539e-18,1.590831905992657e-16,31.668945657246994
CLCN3P1,2.3284023125318334,-1.6730506604211601,9.578342909262242,1.5332322989577146e-18,1.8659528888632687e-16,31.38640616494701
NDC80,1.3886331671224799,3.7127117117533652,9.534902990502882,2.0728701559412788e-18,2.507679348175628e-16,31.134917258852845
PXDC1,1.4300135068507767,4.009046327298901,9.530336934605359,2.139555482861886e-18,2.5730370197446726e-16,31.07638420208361
FOXI3,3.370715795217376,-3.0178050033074344,9.524996191460634,2.2202639482358467e-18,2.654390851996785e-16,30.925233703332573
CLDN19,3.8915321877321314,-2.8597493516535453,9.50942511621981,2.473248388464992e-18,2.896573694605383e-16,30.845123898183907
FAM83D,1.6176898743283257,3.853041275375088,9.509056661232997,2.479569333466647e-18,2.896573694605383e-16,30.951774361051015
SCN8A,2.1122465045732772,0.045223968513768996,9.500107449520291,2.6381228226971912e-18,3.0638404713427267e-16,30.943410806981984
ZDHHC1,-1.4860158840825113,4.936311210743235,-9.487943346909423,2.8699005753107816e-18,3.3140829143532005e-16,30.769952360370382
C20orf27,1.0688626755246045,5.716601514842638,9.480522275901642,3.0211261823383736e-18,3.469003871742661e-16,30.639872526905997
C5orf34,1.1916298772168923,1.508392629936849,9.467883119826697,3.2971249988968162e-18,3.7646499144707244e-16,30.74833607771741
ADIRF-AS1,1.8051932317618924,0.5698108343591545,9.46671657186976,3.3238277087242205e-18,3.773937114643076e-16,30.730739319771434
TK1,1.2277902219699257,6.509945458468166,9.463732275810301,3.393121251563624e-18,3.817894356400803e-16,30.509510472093922
CLCN4,1.9069642213216567,2.1956554383913005,9.463434547360709,3.4001125689261236e-18,3.817894356400803e-16,30.70457933041689
CCDC170,-2.872461177345087,3.6861724601774952,-9.461405613960414,3.44813896365123e-18,3.8505481482004173e-16,30.685364412923047
NMRK1,-1.2200547244415225,4.210392520288798,-9.456593835020952,3.564748876125369e-18,3.959013997725246e-16,30.60324108913601
SLC44A2,1.0170740603809474,7.919284400968861,9.450505424237651,3.7179272503059604e-18,4.1066931214792576e-16,30.41032803373438
CRAT,-1.8097116949952063,6.040845985826928,-9.439855402259536,4.001756455260731e-18,4.3869337587190904e-16,30.385362071090633
MIR34AHG,-1.6675015606367052,2.4940277207727486,-9.437971741740894,4.054151605584814e-18,4.4062340765725003e-16,30.54661539117304
ATAD2,1.440727866024985,4.624180521219809,9.417014438178697,4.685123561727536e-18,5.064917620667576e-16,30.26795105571927
APLP1,2.7212353543653705,3.0358320758108945,9.414948682147893,4.7523680910782914e-18,5.08422243318378e-16,30.352794145257953
LMO1,3.5393670896446268,-2.2048773186849013,9.413573680319269,4.7976577740415196e-18,5.105109769613605e-16,30.223216318396744
HMGA1,1.5401867672297183,8.039120564847108,9.386769472980266,5.771344701899191e-18,6.084887149351018e-16,29.97703048881635
SPA17,-1.6779119832545595,3.3020354547926742,-9.38659446071222,5.7783075173427785e-18,6.084887149351018e-16,30.185521519367292
NT5E,-2.877795540125488,5.350761069782103,-9.378241700847038,6.120504645070495e-18,6.41201734053674e-16,30.058273991885294
TMC5,-2.7197282331041004,4.751428549892589,-9.3768024364602809,6.1814690921613464e-18,6.442675786107036e-16,30.058832934928102
AC009237.3,2.8984581163494734,0.18969335250937985,9.375829298371915,6.223030746543329e-18,6.452901882282991e-16,30.124234445513938
EYA4,3.7369169612635678,-2.453919250582427,9.366111619643984,6.653593477465522e-18,6.829678476566125e-16,29.921745047811555
PEX11G,-1.3916973993723372,3.1176353857074472,-9.354472863532747,7.2083713024452e-18,7.346142301663471e-16,29.972051232837938
MAST4,-1.278881999963819,4.477774286187707,-9.354056802393615,7.229031983530281e-18,7.346142301663471e-16,29.886617309679252
AK8,-2.1458583410578242,2.525759486385453,-9.34527264014505,7.679227672860403e-18,7.764807125533076e-16,29.920030247633072
PHF7,-1.1768726164202021,1.9105760425666214,-9.331644600937642,8.433384967510501e-18,8.485154261370466e-16,29.82859082889056
VMAC,-1.4722041730328357,3.593100400861173,-9.32975889779468,8.54337293698235e-18,8.553473476415236e-16,29.788231934816583
MIR9-3HG,2.8232488527163078,-0.2632052338444306,9.314317339782267,9.499318223882349e-18,9.463928606969847e-16,29.687798040519752
ARFGAP3,-1.2468983990734444,6.270936626354604,-9.308248237572244,9.903479605888756e-18,9.818454610247954e-16,29.4670051022935
MAL,3.9379917081968614,3.159051292007405,9.268298092251799,1.302484254786284e-17,1.2605566663941161e-15,29.348314518250234
EME1,1.203513220313834,1.996252314326843,9.263778961725068,1.3434384786348668e-17,1.2879265867818412e-15,29.373589942177876
AC013724.1,-5.419509509683143,-0.8038178146978511,-9.263001007319795,1.350616524822379e-17,1.288729119741316e-15,29.18336269146327
ABHD6,-1.4085657040984882,3.047262965342718,-9.259501291485554,1.3833817162158074e-17,1.3077139535055846e-15,29.331305325150367
ZNF192P1,1.9841547227573229,-1.3927917343439729,9.256112537954166,1.4158599324449227e-17,1.3322193179171578e-15,29.240697029617383
RASSF6,-2.02873132450713,3.472754701567415,-9.232751178454043,1.6613202821175072e-17,1.5488382299888174e-15,29.15259242941506
E2F2,1.316932139108093,3.2436099823412823,9.228528099875104,1.7100020545347555e-17,1.5869443724367293e-15,29.094893803856465
GPR158,3.27310523313965,-1.1914772733661907,9.217433591426218,1.8447481784762235e-17,1.6987198694476025e-15,29.02460375061095
CLCN2,1.1771328067291567,3.077959583284127,9.217242313799172,1.847161440405039e-17,1.6987198694476025e-15,29.02078118997169
TMX4,-1.3356047037911916,6.411094559326308,-9.205844066889936,1.9967720407157603e-17,1.8280358088066266e-15,28.76962531336459
BX322639.1,3.0736074453490625,-1.530972847952487,9.203049562762486,2.035251916995692e-17,1.85490851843141e-15,28.91592454536817
